AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['Bow Street LLC'],['Paramount Group Inc'],2020-11-16,0,Americas,Americas,10.0,US,['Strengthen operations'],Merger,Intent Withdrawn,10.0,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000052,Private,Public,Asset Management,REITs,,-33.781,0.0,3.048,-87.224,,7.869,5684.619,2020-11-16
['Nebius Group NV'],['TKS Holding MKPAO'],2020-09-22,0,Europe,Europe,27.719,RR,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Merger,Withdrawn,27.719,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000005,Public,Public,Internet Software & Services,Banks,,11.167,9.434,2.487,11.167,9.434,2.487,5508.803,2020-09-22
['Two Cities Master Holdings II Ltd'],['Soho China Ltd'],2020-03-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.644,CY,['General strategy to take advantage of sound investment opportunities'],Merger,Withdrawn,0.644,1970-01-01 00:00:00.000000054,1970-01-01 00:00:00.000000061,1970-01-01 00:00:00.000000048,Subsidiary,Public,Other Financials,Non Residential,4336.964965965,39.475,14.829,9.789,68.458,25.718,16.976,5507.096,2020-03-10
['Rome UK Bondco Ltd'],['Rpc Group Ltd'],2019-01-23,0,Europe,Europe,10.132,STG,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Private Equity Buy and Build strategy.', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,10.132,1970-01-01 00:00:00.000000014,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000003,Subsidiary,Public,Other Financials,Containers & Packaging,3810.5876193,13.36,5.35,0.844,18.43,7.38,1.165,5681.108,2019-01-23
['HUYA Inc'],['Douyu International Holdings Ltd'],2020-08-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,18.827,CY,['Strengthen existing operations/expand presence in primary market'],Merger,Withdrawn,18.827,1970-01-01 00:00:00.000000100,1970-01-01 00:00:00.000000092,1970-01-01 00:00:00.000000144,Public,Public,E-commerce / B2B,E-commerce / B2B,,52.187,56.491,4.393,42.28,45.767,3.559,4995.508,2020-08-10
['Dupont De Nemours Inc'],['Rogers Corp'],2021-11-02,0,Americas,Americas,277.0,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value']",Merger,Withdrawn,277.0,1970-01-01 00:00:00.000000037,1970-01-01 00:00:00.000000042,1970-01-01 00:00:00.000000049,Public,Public,Chemicals,Chemicals,5000.0,51.773,27.766,5.682,49.572,26.586,5.44,4967.447,2021-11-02
['Undisclosed Acquiror'],['Unizo Holdings Co Ltd'],2019-10-10,0,Unknown Region,Japan,46.53,Y,,Merger,Withdrawn,46.53,1970-01-01 00:00:00.000000151,1970-01-01 00:00:00.000000158,1970-01-01 00:00:00.000000164,Private,Public,Brokerage,Non Residential,,7.355,6.943,3.423,22.468,21.21,10.457,4863.804,2019-10-10
['Globalwafers Co Ltd'],['Siltronic AG'],2020-11-29,0,Asia Pacific Excluding Central Asia,Europe,176.422,EUR,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,152.088,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000048,1970-01-01 00:00:00.000000078,Public,Public,Semiconductors,Semiconductors & Semiconductor Equipment,,23.287,12.87,3.604,21.128,11.677,3.27,4801.95,2020-11-29
['Ares Management Corp'],['AMP Ltd'],2020-10-30,0,Americas,Asia Pacific Excluding Central Asia,1.3,AU,['Strengthen operations'],Merger,Withdrawn,1.3,1970-01-01 00:00:00.000000020,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000029,Public,Public,Asset Management,Asset Management,3513.0,-92.084,9.656,0.653,-92.084,9.656,0.653,4464.162,2020-10-30
['Keppel Pegasus Pte Ltd'],['Cuscaden Peak Investments Pte Ltd'],2021-08-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.739,SG,"['Strengthen operations', 'Other']",Merger,Withdrawn,1.558,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000033,Subsidiary,Public,Other Financials,Publishing,,13.629,12.844,8.421,21.616,20.371,13.357,4460.409,2021-08-02
['Husky Energy Inc'],['MEG Energy Corp'],2018-09-30,0,Americas,Americas,8.524,C,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value', 'Other']",Merger,Withdrawn,8.524,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000045,1970-01-01 00:00:00.000000033,Public,Public,Oil & Gas,Oil & Gas,,112.882,7.376,2.145,116.745,7.628,2.218,5101.187,2018-09-30
['Middleby Corp'],['Welbilt Inc'],2021-04-21,0,Americas,Americas,20.687,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Expand presence in new geographical regions', 'Other']",Merger,Withdrawn,20.687,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000037,Public,Public,Machinery,Machinery,,190.821,17.069,2.608,274.558,24.559,3.753,4283.11,2021-04-21
['CD&R Arrow Parent LLC'],['Anixter International Inc'],2019-10-30,0,Americas,Americas,93.5,US,"['Private Equity Buy and Build strategy.', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,81.0,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000038,Subsidiary,Public,Other Financials,Electronics,,16.266,7.449,0.378,21.15,9.686,0.491,4276.433,2019-10-30
['Zendesk Inc'],['Surveymonkey Global Inc'],2021-10-28,0,Americas,Americas,27.599,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,27.599,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000040,Public,Public,Software,Software,,-42.732,0.0,10.005,-41.848,-98.795,9.798,4187.918,2021-10-28
['Altice USA Inc'],['Cogeco Inc'],2020-09-02,0,Americas,Americas,93.274,C,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market']",Merger,Withdrawn,80.784,1970-01-01 00:00:00.000000055,1970-01-01 00:00:00.000000052,1970-01-01 00:00:00.000000049,Public,Public,Cable,Cable,,6.647,2.297,1.077,13.67,4.724,2.215,4165.474,2020-09-02
['Elliott Management Corp'],['QEP Resources Inc'],2019-01-07,0,Americas,Americas,8.75,US,"['Increase shareholder value', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,8.75,1970-01-01 00:00:00.000000043,1970-01-01 00:00:00.000000055,1970-01-01 00:00:00.000000021,Subsidiary,Public,Alternative Financial Investments,Oil & Gas,,-2.048,1.746,1.072,-4.541,3.87,2.377,4491.071,2019-01-07
['Sapporo LLC'],['Unizo Holdings Co Ltd'],2019-08-16,0,Japan,Japan,47.65,Y,['Response to other bid/tender offer'],Merger,Withdrawn,36.654,1970-01-01 00:00:00.000000161,1970-01-01 00:00:00.000000168,1970-01-01 00:00:00.000000175,Subsidiary,Public,Other Financials,Non Residential,,9.805,8.188,3.912,24.448,20.416,9.754,4065.56,2019-08-16
['Entegris Inc'],['Versum Materials Inc'],2019-01-28,0,Americas,Americas,35.078,US,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,35.078,,,,Public,Public,Containers & Packaging,Chemicals,,15.364,8.44,2.777,17.652,9.696,3.19,4405.928,2019-01-28
['Pet Bidco GmbH'],['Zooplus SE'],2021-09-02,0,Europe,Europe,550.558,EUR,"['Expand presence in new/foreign markets', 'Private Equity Buy and Build strategy.', 'Strengthen operations']",Merger,Withdrawn,550.558,1970-01-01 00:00:00.000000070,1970-01-01 00:00:00.000000064,1970-01-01 00:00:00.000000066,Subsidiary,Public,Other Financials,Other Retailing,,126.515,33.883,1.731,123.744,33.141,1.693,3849.838,2021-09-02
['Autodesk Inc'],['Altium Ltd'],2021-06-06,0,Americas,Americas,29.787,US,['Strengthen operations'],Merger,Withdrawn,29.787,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000050,Public,Public,Software,IT Consulting & Services,,122.921,52.574,19.981,120.432,51.509,19.577,3829.737,2021-06-06
['Investor Group'],['Garrett Motion Inc'],2020-10-19,0,Americas,Europe,6.25,SFR,['Strengthen operations'],Merger,Withdrawn,6.25,1970-01-01 00:00:00.000000108,1970-01-01 00:00:00.000000102,1970-01-01 00:00:00.000000202,Private,Public,Other Financials,Automobiles & Auto Parts,,5.242,1.315,0.138,41.117,10.312,1.084,3715.149,2020-10-19
['Healthscope Ltd SPV'],['Healthscope Pty Ltd'],2018-10-23,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.671,AU,"['Private Equity Buy and Build strategy.', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,1.671,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000012,Subsidiary,Public,Other Financials,Hospitals,,54.165,13.101,1.754,78.256,18.927,2.534,4199.121,2018-10-23
['Ingersoll Rand Inc'],['SPX FLOW Inc'],2021-07-19,0,Americas,Americas,85.0,US,['Strengthen operations'],Merger,Withdrawn,85.0,1970-01-01 00:00:00.000000036,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000034,Public,Public,Machinery,Machinery,,117.369,39.773,4.818,120.28,40.759,4.938,3680.581,2021-07-19
['Waters Corp'],['Waters Corp'],2019-01-21,0,Americas,Americas,206.94,US,['Other'],Buyback,Withdrawn,206.94,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000019,Public,Public,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,,0.0,0.0,0.0,,,,4000.0,2019-01-21
['Luz C-BC Bidco GmbH'],['Osram Licht AG'],2019-02-13,0,Europe,Europe,39.491,EUR,"['Expand presence in new/foreign markets', 'Strengthen operations', 'Increase shareholder value', 'Allow to offer new products and services']",Merger,Withdrawn,39.491,1970-01-01 00:00:00.000000004,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000000,Subsidiary,Public,Other Financials,Other Industrials,,-23.699,25.447,1.222,-26.714,28.685,1.378,3948.587,2019-02-13
['Lockheed Martin Corp'],['Aerojet Rocketdyne Holdings Inc'],2020-12-20,0,Americas,Americas,51.0,US,"['Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,51.0,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000035,Public,Public,Aerospace & Defense,Aerospace & Defense,,30.975,13.006,1.938,28.339,11.899,1.773,3616.109,2020-12-20
['Anaxi Group Holdings Ltd'],['Playtech PLC'],2021-10-17,0,Europe,Europe,9.349,STG,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value', 'Allow to offer new products and services']",Merger,Withdrawn,9.349,1970-01-01 00:00:00.000000058,1970-01-01 00:00:00.000000055,1970-01-01 00:00:00.000000055,Subsidiary,Public,Other Financials,Casinos & Gaming,,-8.352,9.751,2.302,-10.431,12.179,2.875,3577.435,2021-10-17
['RE Strategic Investments Pte Ltd'],['Spring Real Estate Investment Trust'],2018-09-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.676,HK,['Strengthen operations'],Merger,Withdrawn,0.619,1970-01-01 00:00:00.000000076,1970-01-01 00:00:00.000000064,1970-01-01 00:00:00.000000056,Subsidiary,Public,Asset Management,REITs,,3.036,0.0,1.562,15.021,,7.726,4116.65,2018-09-26
['Starwood Capital Group I LP'],['Monmouth Real Estate Investment Corp'],2021-07-12,0,Americas,Americas,19.93,US,['Strengthen operations'],Merger,Withdrawn,18.7,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000016,Private,Public,Alternative Financial Investments,REITs,,19.649,21.357,10.984,34.37,37.359,19.214,3438.316,2021-07-12
['Columbia Property Trust Inc SPV'],['Columbia Property Trust Inc'],2021-03-15,0,Americas,Americas,19.5,US,['Strengthen operations'],Merger,Withdrawn,19.5,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000036,Private,Public,Other Financials,REITs,,18.92,32.399,7.453,28.994,49.65,11.421,3432.752,2021-03-15
['Equity Commonwealth'],['Monmouth Real Estate Investment Corp'],2021-05-04,0,Americas,Americas,19.001,US,"['Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,19.283,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000011,Public,Public,REITs,REITs,,27.294,29.667,15.258,33.449,36.357,18.699,3346.156,2021-05-04
['Investor Group'],['American Equity Investment Life Holding Co'],2020-10-01,0,Americas,Americas,36.0,US,"['Strengthen operations', 'Increase shareholder value', 'Other']",Merger,Withdrawn,36.0,1970-01-01 00:00:00.000000063,1970-01-01 00:00:00.000000082,1970-01-01 00:00:00.000000050,Private,Public,Other Financials,Insurance,3000.0,3.75,2.027,0.784,3.75,2.027,0.784,3310.364,2020-10-01
['CEVIA Enviro Inc'],['Tus Environmental Science and Technology Development Co Ltd'],2021-01-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.97,CY,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Merger,Withdrawn,1.131,1969-12-31 23:59:59.999999994,1969-12-31 23:59:59.999999993,1969-12-31 23:59:59.999999984,Public,Public,Water and Waste Management,Water and Waste Management,,-1.705,0.0,0.915,-4.551,-53.704,2.441,3266.599,2021-01-11
['Bangkok Dusit Medical Services PCL'],['Bumrungrad Hospital PCL'],2020-02-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.713,BA,"['Expand presence in new/foreign markets', 'Strengthen operations', 'Allow to offer new products and services']",Merger,Withdrawn,4.713,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000011,Public,Public,Hospitals,Hospitals,,43.377,29.147,8.86,41.788,28.079,8.536,3227.624,2020-02-27
['Singapore Technologies Engineering Ltd'],['Cubic Corp'],2021-03-22,0,Asia Pacific Excluding Central Asia,Americas,78.0,US,['Strengthen operations'],Merger,Withdrawn,76.0,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000076,1970-01-01 00:00:00.000000060,Public,Public,AUTOMOTIVE,Other Industrials,,200.927,13.438,1.694,260.283,17.408,2.194,3216.578,2021-03-22
['Durational Capital Management LP'],['Sanderson Farms Inc'],2020-10-29,0,Americas,Americas,142.0,US,['Private Equity Buy and Build strategy.'],Merger,Withdrawn,142.0,1970-01-01 00:00:00.000000015,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000018,Private,Public,Alternative Financial Investments,Food and Beverage,,-44.06,33.719,0.894,-44.463,34.028,0.903,3186.957,2020-10-29
['Platinum Equity LLC'],"[""Marston's PLC""]",2021-01-29,0,Americas,Europe,1.44,STG,,Merger,Withdrawn,1.44,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000033,1970-01-01 00:00:00.000000038,Private,Public,Alternative Financial Investments,FOOD/BEVERAGES,,-1.91,6.147,1.291,-6.613,21.281,4.471,3161.659,2021-01-29
['Cineworld Group PLC'],['Cineplex Inc'],2019-12-16,0,Europe,Americas,25.826,C,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value', 'Expand presence in new geographical regions']",Merger,Withdrawn,25.826,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000037,1970-01-01 00:00:00.000000034,Public,Public,Motion Pictures / Audio Visual,Motion Pictures / Audio Visual,,47.456,7.303,1.697,70.411,10.836,2.518,3155.633,2019-12-16
['Shareholders'],['Raspadskaya PAO'],2021-01-26,0,Europe,Europe,5.193,RR,"['Concentrate on core businesses/assets', 'Strengthen operations', 'Increase shareholder value']",Acquisition Of Majority Interest,Withdrawn,5.193,1970-01-01 00:00:00.000000140,1970-01-01 00:00:00.000000144,1970-01-01 00:00:00.000000145,Private,Public,Other Financials,Metals & Mining,,0.181,0.104,0.048,0.831,0.476,0.219,3142.599,2021-01-26
['Independent Bank Group Inc'],['Texas Capital Bancshares Inc'],2019-12-09,0,Americas,Americas,61.103,US,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value', 'Allow to offer new products and services']",Merger,Withdrawn,61.103,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000003,Public,Public,Banks,Banks,,9.642,7.018,3.148,9.642,7.018,3.148,3093.606,2019-12-09
['Magna International Inc'],['Arriver Holdco Inc'],2021-07-22,0,Americas,Europe,31.25,SKR,"['Concentrate on core businesses/assets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations']",Merger,Withdrawn,31.25,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000049,1970-01-01 00:00:00.000000038,Public,Public,AUTOMOTIVE,Automobiles & Components,,-8.361,0.0,2.432,-7.363,-11.515,2.142,3077.348,2021-07-22
['Cargotec Corp'],['Konecranes Abp'],2020-10-01,0,Europe,Europe,28.09,EUR,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,28.09,1969-12-31 23:59:59.999999990,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000001,Public,Public,Building/Construction & Engineering,Machinery,,16.714,7.842,0.597,23.049,10.815,0.824,3065.479,2020-10-01
['Investor Group'],['China Biologic Products Holdings Inc'],2018-08-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,118.0,CY,['Other'],Merger,Withdrawn,118.0,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000053,1970-01-01 00:00:00.000000061,Private,Public,Other Financials,Biotechnology,,379.202,313.717,116.624,345.367,285.725,106.218,3595.2,2018-08-17
['Future Enterprises Ltd'],['Future Retail Ltd'],2020-08-29,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.777,RE,['Strengthen operations'],Merger,Withdrawn,2.777,1970-01-01 00:00:00.000000050,1970-01-01 00:00:00.000000065,1970-01-01 00:00:00.000000084,Public,Public,Department Stores,Discount and Department Store Retailing,,974.956,5.121,0.541,1975.806,10.378,1.097,3050.968,2020-08-29
['Blackwells Capital LLC'],['Monmouth Real Estate Investment Corp'],2020-12-21,0,Americas,Americas,18.0,US,['Increase shareholder value'],Merger,Withdrawn,18.0,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000024,Private,Public,Other Financials,REITs,,-175.57,45.665,23.166,-139.647,36.322,18.426,3018.56,2020-12-21
['SS&C Technologies Holdings Inc'],['MUFG Pension & Market Services Holdings Ltd'],2020-12-07,0,Americas,Asia Pacific Excluding Central Asia,4.193,AU,['General strategy to take advantage of sound investment opportunities'],Merger,Withdrawn,4.193,1970-01-01 00:00:00.000000041,1970-01-01 00:00:00.000000046,1970-01-01 00:00:00.000000047,Public,Public,Software,Other Financials,,-26.307,11.535,2.435,-35.689,15.648,3.304,3016.537,2020-12-07
['Magnit PAO'],['MK Lenta PAO'],2019-04-05,0,Europe,Europe,3.65,RR,['Strengthen operations'],Merger,Withdrawn,3.65,1970-01-01 00:00:00.000000008,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000023,Public,Public,FOOD/BEVERAGES,Food Processing,,8.515,3.567,0.309,15.298,6.409,0.556,3197.164,2019-04-05
['Kyanite Investment Holdings Pte Ltd'],['Keppel Ltd'],2019-10-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.388,SG,"['Strengthen operations', 'Increase shareholder value', 'Other']",Acquisition Of Majority Interest,Withdrawn,5.388,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000020,Subsidiary,Public,Other Financials,Automobiles & Components,,19.073,11.666,1.891,33.272,20.35,3.299,2990.091,2019-10-21
['Investor Group'],['Dye & Durham Ltd'],2021-05-31,0,Americas,Americas,41.846,C,['Increase shareholder value'],Merger,Withdrawn,41.846,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000017,1970-01-01 00:00:00.000000022,Private,Public,Other Financials,Software,,-67.846,65.804,24.9,-69.059,66.981,25.345,2913.951,2021-05-31
['EQT Infrastructure IV Fund'],['Vocus Group Ltd'],2019-05-27,0,Europe,Asia Pacific Excluding Central Asia,3.635,AU,['General strategy to take advantage of sound investment opportunities'],Merger,Withdrawn,3.635,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000032,Subsidiary,Public,Alternative Financial Investments,Telecommunications Services,,80.941,9.355,1.709,108.015,12.485,2.281,3008.351,2019-05-27
['Brookfield Infrastructure Partners LP'],['Cincinnati Bell Inc'],2019-12-23,0,Americas,Americas,14.5,US,"['Strengthen operations', 'Increase shareholder value', 'Other']",Merger,Withdrawn,10.5,1970-01-01 00:00:00.000000087,1970-01-01 00:00:00.000000091,1970-01-01 00:00:00.000000127,Public,Public,Transportation & Infrastructure,Telecommunications Services,,-42.778,7.164,1.854,-42.888,7.182,1.859,2856.342,2019-12-23
['Ramsay Health Care Uk Operations Ltd'],['Spire Healthcare Group PLC'],2021-05-26,0,Europe,Europe,3.455,STG,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Private Equity Buy and Build strategy.', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,3.317,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000032,1970-01-01 00:00:00.000000027,Subsidiary,Public,Hospitals,Hospitals,,-56.65,0.0,1.387,-116.362,-13.019,2.848,2846.586,2021-05-26
['Link Administration Holdings Ltd SPV'],['MUFG Pension & Market Services Holdings Ltd'],2020-10-12,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.853,AU,"['Private Equity Buy and Build strategy.', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,3.71,1970-01-01 00:00:00.000000035,1970-01-01 00:00:00.000000040,1970-01-01 00:00:00.000000040,Private,Public,Other Financials,Other Financials,,-25.143,11.024,2.328,-34.525,15.138,3.196,2805.685,2020-10-12
['AGL Energy Ltd'],['Vocus Group Ltd'],2019-06-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.376,AU,"['Concentrate on core businesses/assets', 'Strengthen operations', 'General strategy to take advantage of sound investment opportunities']",Merger,Withdrawn,3.376,1970-01-01 00:00:00.000000026,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000022,Public,Public,Power,Telecommunications Services,,74.774,8.643,1.579,101.848,11.772,2.151,2852.164,2019-06-11
['Navient Corp SPV'],['Navient Corp'],2019-02-18,0,Americas,Americas,12.5,US,['Strengthen operations'],Merger,Withdrawn,12.5,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000014,Subsidiary,Public,Other Financials,Brokerage,,9.597,0.0,0.579,9.597,,0.579,2903.958,2019-02-18
['Television Francaise 1 SA'],['Metropole Television SA'],2021-05-17,0,Europe,Europe,21.287,EUR,"['Expand presence in new/foreign markets', 'Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,21.287,1970-01-01 00:00:00.000000031,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000032,Public,Public,Broadcasting,Broadcasting,3004.702202,7.987,6.021,1.769,7.987,6.021,1.769,2682.032,2021-05-17
['Investor Group'],['Invesco Office J-Reit Inc'],2021-04-02,0,Americas,Japan,205.404,Y,['Increase shareholder value'],Merger,Withdrawn,182.582,1970-01-01 00:00:00.000000028,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000029,Private,Public,Other Financials,REITs,,26.966,23.689,11.24,40.736,35.786,16.98,2623.738,2021-04-02
['EG Group Ltd'],['Ampol Ltd'],2020-01-08,0,Europe,Asia Pacific Excluding Central Asia,10.44,AU,['Strengthen operations'],Merger,Withdrawn,10.44,1969-12-31 23:59:59.999999953,1969-12-31 23:59:59.999999956,1969-12-31 23:59:59.999999956,Subsidiary,Public,Oil & Gas,Petrochemicals,,10.162,3.995,0.175,14.71,5.784,0.253,2607.043,2020-01-08
['EchoStar Corp'],['Inmarsat Group Holdings Ltd'],2018-06-08,0,Americas,Europe,7.036,STG,"['Expand presence in new/foreign markets', 'Strengthen operations', 'Increase shareholder value']",Merger,Withdrawn,7.036,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000010,1969-12-31 23:59:59.999999990,Public,Public,Space and Satellites,Other Financials,,393.227,4.47,2.337,661.845,7.523,3.933,5466.186,2018-06-08
